
N

New run with 25 obstacles
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
0.001,0,True,False,True
39.125,0.01444,False,True,True
0.001,0,True,False,True
31.401,0.01159,False,True,True
28.603,0.01056,False,True,True
50.975,0.01882,False,True,True
19.969,0.00737,False,True,True
26.302,0.00971,False,True,True
0.0,0,True,False,True
23.578,0.0087,True,False,True
40.32,0.01488,False,True,True
39.818,0.0147,False,True,True
112.44,0.04149,False,True,True
310.173,0.11443,False,False,True
25.47,0.0094,False,True,True
21.38,0.00789,False,True,True
27.123,0.01001,False,True,True
50.766,0.01874,False,True,True
35.685,0.01317,False,True,True
54.123,0.01998,False,True,True
37.742,0.01393,False,True,True
29.468,0.01088,False,True,True
22.825,0.00842,False,True,True
0.0,0,True,False,True
24.521,0.00905,False,True,True
29.732,0.01097,False,True,True
22.601,0.00834,False,True,True
48.907,0.01805,False,True,True
0.001,0,True,False,True
0.216,8e-05,True,False,True
237.399,0.08759,False,True,True
140.801,0.05195,False,True,True
27.489,0.01015,False,True,True
61.752,0.02279,False,True,True
31.315,0.01156,False,True,True
34.971,0.01291,False,True,True
320.465,0.11822,False,False,True
54.746,0.02021,False,True,True
42.433,0.01566,False,True,True
22.349,0.00825,False,True,True
53.269,0.01966,False,True,True
37.157,0.01371,False,True,True
25.354,0.00936,False,True,True
0.932,0.00034,True,False,True
29.208,0.01078,False,True,True
28.7,0.01059,False,True,True
56.847,0.02098,False,True,True
27.212,0.01004,False,True,True
49.007,0.01809,False,True,True
38.571,0.01424,False,True,True
New run with 25 obstacles
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
17.969,0.00663,False,True,False
5.601,0.00207,True,False,False
14.871,0.00549,True,False,False
19.272,0.00711,False,True,False
18.224,0.00673,False,True,False
9.508,0.00351,True,False,False
18.315,0.00676,False,True,False
20.129,0.00743,False,True,False
15.951,0.00589,False,True,False
22.161,0.00818,False,True,False
31.805,0.01174,False,True,False
2.337,0.00086,True,False,False
4.449,0.00164,True,False,False
5.8,0.00214,True,False,False
2.574,0.00095,True,False,False
17.21,0.00635,False,True,False
22.179,0.00818,False,True,False
3.375,0.00125,True,False,False
7.493,0.00277,True,False,False
7.622,0.00281,True,False,False
4.695,0.00173,True,False,False
17.674,0.00652,False,True,False
12.876,0.00475,False,True,False
2.807,0.00104,True,False,False
0.0,0,True,False,False
14.668,0.00541,False,True,False
14.792,0.00546,False,True,False
3.49,0.00129,True,False,False
12.057,0.00445,False,True,False
4.883,0.0018,True,False,False
15.978,0.0059,False,True,False
16.88,0.00623,False,True,False
7.524,0.00278,True,False,False
7.874,0.00291,True,False,False
16.174,0.00597,False,True,False
16.192,0.00598,False,True,False
7.01,0.00259,True,False,False
15.46,0.00571,False,True,False
3.225,0.00119,True,False,False
5.791,0.00214,True,False,False
15.763,0.00582,False,True,False
7.676,0.00283,True,False,False
15.607,0.00576,False,True,False
0.0,0,True,False,False
17.904,0.00661,False,True,False
20.584,0.0076,False,True,False
18.908,0.00698,False,True,False
12.586,0.00464,False,True,False
13.647,0.00504,False,True,False
5.275,0.00195,True,False,False


New run with 50 obstacles
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
38.845,0.01432,False,True,True
0.318,0.00012,True,False,True
37.678,0.01389,False,True,True
24.517,0.00904,False,True,True
32.781,0.01208,False,True,True
25.378,0.00936,False,True,True
36.987,0.01364,False,True,True
50.22,0.01852,False,True,True
139.336,0.05135,False,True,True
48.629,0.01793,False,True,True
31.033,0.01144,False,True,True
31.033,0.01144,True,True,True
34.12,0.01258,False,True,True
39.84,0.01469,False,True,True
32.206,0.01187,False,True,True
32.527,0.01199,False,True,True
34.876,0.01286,False,True,True

New run with 50 obstacles and True Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
27.007,0.00996,False,True,True
36.275,0.01337,False,True,True
31.383,0.01157,False,True,True
0.001,0,True,False,True
33.388,0.01231,False,True,True
52.153,0.01923,False,True,True
27.38,0.01009,False,True,True
39.096,0.01441,False,True,True
110.677,0.0408,True,False,True
126.528,0.04663,False,True,True
52.524,0.01936,False,True,True
57.27,0.02111,False,True,True
326.299,0.12024,False,False,True
158.591,0.05845,False,True,True
32.212,0.01188,False,True,True
35.654,0.01314,False,True,True
41.792,0.01541,False,True,True
34.095,0.01257,False,True,True
52.452,0.01934,False,True,True
328.727,0.12115,False,False,True
37.195,0.01371,False,True,True
42.726,0.01575,False,True,True
109.287,0.04028,False,True,True
0.001,0,True,False,True
40.033,0.01476,False,True,True
51.547,0.01901,False,True,True
39.229,0.01446,False,True,True
24.142,0.0089,False,True,True
29.192,0.01076,False,True,True
39.955,0.01473,False,True,True
0.001,0,True,False,True
40.458,0.01492,False,True,True
36.582,0.01349,False,True,True
26.809,0.00988,False,True,True
24.044,0.00887,False,True,True
0.001,0,True,False,True
46.737,0.01723,False,True,True
49.757,0.01834,False,True,True
105.108,0.03874,True,False,True
34.65,0.01278,False,True,True
36.026,0.01328,False,True,True
232.268,0.08559,True,False,True
49.02,0.01807,False,True,True
